CreatedDate,Invested_Value
1/21/2021,35857642.899863005
1/25/2022,36320248.502061
1/27/2023,31310595.992385
10/19/2021,42305119.626701
10/19/2022,27555079.594565
11/11/2020,30653141.252423
11/9/2022,27406299.234565
12/14/2021,37872863.413761
12/16/2022,29332949.333805
2/16/2022,35271218.705221
2/8/2023,36821681.413485
3/16/2022,32179394.046718
3/3/2021,36850282.525223
3/9/2023,36474438.018725
4/1/2021,35960834.808721
4/11/2022,32436165.4364
4/14/2020,22815428.745285
5/19/2020,23238442.555785
5/3/2021,38367999.757411
6/10/2020,27168967.088765
7/15/2021,40640329.880331
7/15/2022,29084007.94876
7/16/2020,27898286.216545
8/11/2020,27563771.129585
8/8/2022,31752648.21144
8/9/2021,41595193.886931
9/14/2022,30635255.983655
9/2/2021,41985652.185331
9/28/2020,29022458.211373
