CreatedDate,Invested_Value
1/21/2021,26297486.649863
1/25/2022,22708248.992061
1/27/2023,21080595.992385
10/19/2021,26555119.626701
10/19/2022,17325079.594565
11/11/2020,22563141.252423
11/9/2022,17176299.234565
12/14/2021,24142863.413761
12/16/2022,19102949.333805
2/16/2022,22031218.705221
2/8/2023,20821681.413484998
3/16/2022,20279394.046718
3/3/2021,27336804.742223002
3/9/2023,20484438.018725
4/1/2021,26447357.025721002
4/11/2022,20536165.4364
4/14/2020,17165428.745285
5/19/2020,17350555.592785
5/3/2021,28854521.974411
6/10/2020,19468967.088765
7/15/2021,26540329.880331
7/15/2022,18134007.94876
7/16/2020,20308515.098545
8/11/2020,20383771.129585
8/8/2022,19852648.21144
8/9/2021,27495193.886931002
9/14/2022,18735255.983655
9/2/2021,26735652.185331
9/28/2020,20522458.211373
