CreatedDate,Invested_Value
1/21/2021,26295586.649883002
1/25/2022,22706348.992081
1/27/2023,21077055.592415
10/19/2021,26553219.626721002
10/19/2022,17321539.194594998
11/11/2020,22561241.252443
11/9/2022,17172758.834595
12/14/2021,24140963.413781
12/16/2022,19099408.933835
2/16/2022,22029318.705241002
2/8/2023,20818141.013515
3/16/2022,20277494.046738
3/3/2021,27334904.742243
3/9/2023,20480210.018685
4/1/2021,26445457.025741
4/11/2022,20534265.43642
4/14/2020,17163528.745285
5/19/2020,17348655.592805
5/3/2021,28852621.974431
6/10/2020,19467067.088785
7/15/2021,26538429.880351
7/15/2022,18132107.94878
7/16/2020,20306615.098565
8/11/2020,20381871.129605
8/8/2022,19850748.21146
8/9/2021,27493293.886951
9/14/2022,18730605.983615
9/2/2021,26733752.185351
9/28/2020,20520558.211393
