CreatedDate,Invested_Value
1/21/2021,38352542.93212
1/25/2022,38379948.46834
1/27/2023,33115595.995847
10/19/2021,44564519.6326
10/19/2022,29263079.586965002
11/11/2020,33097441.26525
11/9/2022,29111399.25357
12/14/2021,40075563.36126
12/16/2022,31086549.324366998
2/16/2022,37239918.71422
2/8/2023,38624981.382837996
3/16/2022,34114094.0506
3/3/2021,39150782.55217
3/9/2023,38260738.019844
4/1/2021,38167634.81944
4/11/2022,34360765.46297
4/14/2020,24637228.76677
5/19/2020,25081642.59502
5/3/2021,40498999.76418
6/10/2020,29046667.0975
7/15/2021,42990929.83514
7/15/2022,31063407.936822
7/16/2020,29824586.22662
8/11/2020,29495971.10782
8/8/2022,33674348.18718
8/9/2021,43951793.8406
9/14/2022,32541056.001422
9/2/2021,44278152.1978
9/28/2020,31184758.240539998
