CreatedDate,Invested_Value
1/21/2021,30454255.717445
1/25/2022,28503539.431264
1/27/2023,22358746.007906
10/19/2021,34519408.273821004
10/19/2022,20943179.313695
11/11/2020,25459947.749359
11/9/2022,20705549.239484
12/14/2021,30013523.543394
12/16/2022,21384609.312392
2/16/2022,27723431.144853
2/8/2023,28181281.392366
3/16/2022,25845307.069098
3/3/2021,30990458.491437998
3/9/2023,27906137.012172002
4/1/2021,29760522.443117
4/11/2022,25820923.698585
4/14/2020,19057098.205829002
5/19/2020,19443159.697124
5/3/2021,30657600.813927
6/10/2020,22533177.359266
7/15/2021,33052929.569191
7/15/2022,23116017.945195
7/16/2020,23065167.579724
8/11/2020,23410642.008099
8/8/2022,24761648.221703
8/9/2021,33240585.687880002
9/14/2022,23795437.728873
9/2/2021,34502112.938395
9/28/2020,24884110.062533
