,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,22810028.74507,22810028.74507
1,2020-05-19,23233042.55557,23233042.55557
2,2020-06-10,27163567.08855,27163567.08855
3,2020-07-16,27892886.21633,27892886.21633
4,2020-08-11,27558371.12937,27558371.12937
5,2020-09-28,29017858.21129,29017858.21129
6,2020-11-11,30648541.25234,30648541.25234
7,2021-01-21,35851542.89972,35851542.89972
8,2021-03-03,36844182.52508,36844182.52508
9,2021-04-01,35953834.80884,35953834.80884
10,2021-05-03,38360999.75753,38360999.75753
11,2021-07-15,40633329.88045,40633329.88045
12,2021-08-09,41588193.88705,41588193.88705
13,2021-09-02,41978652.18545,41978652.18545
14,2021-10-19,42298119.62682,42298119.62682
15,2021-12-14,37865863.41388,37865863.41388
16,2022-01-25,36313248.50218,36313248.50218
17,2022-02-16,35264218.70534,35264218.70534
18,2022-03-16,32170894.04648,32170894.04648
19,2022-04-11,32425965.43659,32425965.43659
20,2022-07-15,29073807.94895,29073807.94895
21,2022-08-08,31742448.21163,31742448.21163
22,2022-09-14,30627855.98356,30627855.98356
23,2022-10-19,27547679.59447,27547679.59447
24,2022-11-09,27398899.23447,27398899.23447
25,2022-12-16,29325549.33371,29325549.33371
26,2023-01-27,31303195.99229,31303195.99229
27,2023-02-08,36814281.41339,36814281.41339
28,2023-03-09,36467038.01863,36467038.01863
29,2023-04-09,36426268.711999625,36460366.61998118
30,2023-05-09,36346130.63492235,36414241.10096991
31,2023-06-09,36232528.84890016,36334332.96342005
32,2023-07-09,36247770.71357548,36383422.39761229
33,2023-08-09,36384595.60168944,36554524.07043939
34,2023-09-09,36604402.45325756,36808938.96312141
35,2023-10-09,36891166.78879294,37130257.357018
36,2023-11-09,36735644.75138786,37008015.92664887
37,2023-12-09,36833798.250642,37139879.58583225
38,2024-01-09,36943622.50022521,37283693.2470758
39,2024-02-09,36914749.64972603,37288428.17817265
