,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,17165428.745285,17165428.745285
1,2020-05-19,17350555.592785,17350555.592785
2,2020-06-10,19468967.088765,19468967.088765
3,2020-07-16,20308515.098545,20308515.098545
4,2020-08-11,20383771.129585,20383771.129585
5,2020-09-28,20522458.211373,20522458.211373
6,2020-11-11,22563141.252423,22563141.252423
7,2021-01-21,26297486.649863,26297486.649863
8,2021-03-03,27336804.742223,27336804.742223
9,2021-04-01,26447357.025721,26447357.025721
10,2021-05-03,28854521.974411,28854521.974411
11,2021-07-15,26540329.880331,26540329.880331
12,2021-08-09,27495193.886931,27495193.886931
13,2021-09-02,26735652.185331,26735652.185331
14,2021-10-19,26555119.626701,26555119.626701
15,2021-12-14,24142863.413761,24142863.413761
16,2022-01-25,22708248.992061,22708248.992061
17,2022-02-16,22031218.705221,22031218.705221
18,2022-03-16,20279394.046718,20279394.046718
19,2022-04-11,20536165.4364,20536165.4364
20,2022-07-15,18134007.94876,18134007.94876
21,2022-08-08,19852648.21144,19852648.21144
22,2022-09-14,18735255.983655,18735255.983655
23,2022-10-19,17325079.594565,17325079.594565
24,2022-11-09,17176299.234565,17176299.234565
25,2022-12-16,19102949.333805,19102949.333805
26,2023-01-27,21080595.992385,21080595.992385
27,2023-02-08,20821681.413485,20821681.413485
28,2023-03-09,20484438.018725,20484438.018725
29,2023-04-09,20572153.09633144,20597545.264475293
30,2023-05-09,20730459.429434184,20781399.692555357
31,2023-06-09,20762650.166953214,20839306.086627822
32,2023-07-09,20926356.979203023,21029078.75697668
33,2023-08-09,20976751.36261508,21105767.13223439
34,2023-09-09,20931854.080141257,21086360.09686887
35,2023-10-09,21073739.4627038,21255058.769825622
36,2023-11-09,21121018.66148053,21328888.96474377
37,2023-12-09,21220553.67861676,21455316.481104966
38,2024-01-09,21158830.589846723,21420202.48477352
39,2024-02-09,21212192.907430567,21500422.631573062
40,2024-03-09,21230053.933239825,21544737.939779654
41,2024-04-09,21392912.271931008,21735987.65380384
42,2024-05-09,21339892.78508859,21709046.15586613
43,2024-06-09,21343232.265035912,21740281.671365283
44,2024-07-09,21333082.24311412,21757028.465726357
45,2024-08-09,21291871.4304423,21742052.04543817
46,2024-09-09,21431605.805079386,21911209.81682544
47,2024-10-09,21400809.05423435,21906586.33614234
48,2024-11-09,21382360.27063913,21914756.368993327
49,2024-12-09,21434847.707445007,21994771.97173759
50,2025-01-09,21397200.87475662,21985195.112474192
51,2025-02-09,21532451.51304425,22149476.51135869
52,2025-03-09,21495042.3720586,22138960.944145497
53,2025-04-09,21623046.768300217,22296018.454400256
54,2025-05-09,21611255.64864755,22311045.19367513
55,2025-06-09,21594640.137726106,22320076.84270454
56,2025-07-09,21716227.26101752,22470850.545548763
57,2025-08-09,21748923.595325463,22530634.935025454
58,2025-09-09,21797598.72053824,22605111.5672124
59,2025-10-09,21770529.42418235,22603998.190300405
60,2025-11-09,21836618.01701948,22700382.28690388
61,2025-12-09,21856355.558574863,22746641.608880702
62,2026-01-09,21819527.40922904,22738694.18154556
63,2026-02-09,21863323.66041497,22810583.66423065
64,2026-03-09,21938983.61266656,22914435.177032888
65,2026-04-09,21994859.372438,23000546.5179433
66,2026-05-09,22050293.24625098,23088248.116129477
67,2026-06-09,21977143.706136357,23038989.386710394
68,2026-07-09,22108214.379260484,23202124.15767954
69,2026-08-09,22126095.50368346,23253006.94980756
70,2026-09-09,22093636.36693832,23248093.506593537
71,2026-10-09,22098042.10732461,23281895.678370543
72,2026-11-09,22143729.71154277,23355551.39703429
73,2026-12-09,22103722.105681192,23344260.51031424
74,2027-01-09,22240336.077441312,23510706.52108325
75,2027-02-09,22205443.62802984,23503654.386378147
76,2027-03-09,22161120.812221546,23481601.75706446
77,2027-04-09,22145509.97397017,23490714.20355533
78,2027-05-09,22152443.715387337,23527627.73370022
79,2027-06-09,22291588.73576984,23696988.653205637
80,2027-07-09,22453201.045612592,23893099.030378547
81,2027-08-09,22551799.34142627,24023961.864926904
82,2027-09-09,22613390.9349412,24111529.338607904
83,2027-10-09,22732459.12216491,24264607.57219253
84,2027-11-09,22771075.52643551,24337479.261628743
85,2027-12-09,22800628.185464997,24394619.523968507
86,2028-01-09,22909805.08664275,24538458.320786063
87,2028-02-09,23020920.68141285,24680972.637516107
88,2028-03-09,23020431.92984587,24711428.55589828
89,2028-04-09,23001627.142925948,24727026.783313416
90,2028-05-09,22955832.615744986,24710300.984574243
91,2028-06-09,22999723.38600232,24781409.784999195
92,2028-07-09,23122864.6720244,24935920.38745631
93,2028-08-09,23152527.662030105,24995759.982199755
94,2028-09-09,23310802.626069307,25185490.05999862
95,2028-10-09,23473029.727189727,25380614.02391525
96,2028-11-09,23474255.38543062,25408586.01425842
97,2028-12-09,23469267.212063976,25435724.3631319
98,2029-01-09,23530041.46389699,25528474.49731801
99,2029-02-09,23671423.511884715,25702082.619547896
100,2029-03-09,23634318.90024232,25697432.70760857
101,2029-04-09,23616964.00059912,25714629.37901546
102,2029-05-09,23612129.84776916,25741429.866647307
103,2029-06-09,23765545.543662995,25933762.418443438
104,2029-07-09,23902358.13983066,26104611.869163632
105,2029-08-09,23868065.68926061,26098506.33175626
106,2029-09-09,23868347.809853688,26130779.206929676
107,2029-10-09,23908394.881697647,26192424.16812712
108,2029-11-09,24020264.8113042,26335631.16476509
109,2029-12-09,24040587.285004813,26392184.59253111
110,2030-01-09,24016305.608530886,26399222.399128623
111,2030-02-09,24199410.221831188,26622411.436559934
112,2030-03-09,24268908.51314342,26724820.901321348
113,2030-04-09,24244304.32400176,26729697.241991997
114,2030-05-09,24384538.22591772,26911071.337507617
115,2030-06-09,24598568.647421382,27166727.481670447
116,2030-07-09,24580646.769141592,27186149.11040608
117,2030-08-09,24586545.021294687,27222806.66691995
118,2030-09-09,24549243.04232917,27212623.80246042
119,2030-10-09,24678739.655197848,27382005.69706177
120,2030-11-09,24780349.82724137,27521026.752400607
121,2030-12-09,24950774.556550197,27725983.959608182
122,2031-01-09,24974626.639185976,27782507.081536025
123,2031-02-09,24944096.78788488,27776332.21576977
124,2031-03-09,25083438.11532527,27955733.33946406
125,2031-04-09,25067614.406835448,27966653.695015237
