CreatedDate,Invested_Value
2020-04-14,22810028.74507
2020-05-19,23233042.55557
2020-06-10,27163567.08855
2020-07-16,27892886.21633
2020-08-11,27558371.12937
2020-09-28,29017858.211290002
2020-11-11,30648541.25234
2021-01-21,35851542.89972
2021-03-03,36844182.52508
2021-04-01,35953834.80884
2021-05-03,38360999.757530004
2021-07-15,40633329.880449995
2021-08-09,41588193.88705
2021-09-02,41978652.18545
2021-10-19,42298119.62682
2021-12-14,37865863.41388
2022-01-25,36313248.50218
2022-02-16,35264218.70534
2022-03-16,32170894.04648
2022-04-11,32425965.43659
2022-07-15,29073807.94895
2022-08-08,31742448.211629998
2022-09-14,30627855.98356
2022-10-19,27547679.594469998
2022-11-09,27398899.23447
2022-12-16,29325549.33371
2023-01-27,31303195.992289998
2023-02-08,36814281.41339
2023-03-09,36467038.01863
2023-04-09,36388375.47597056
2023-05-09,36452650.20285539
2023-06-09,36690996.794063106
2023-07-09,36661214.234456144
2023-08-09,36429451.73969245
2023-09-09,36221853.24992329
2023-10-09,36202979.14275641
2023-11-09,36589109.50287042
2023-12-09,36528894.24263425
2024-01-09,36715548.06576922
2024-02-09,36706285.01249891
2024-03-09,36565003.34044307
2024-04-09,36706905.991019525
2024-05-09,36678802.690391734
2024-06-09,36600699.6333268
2024-07-09,36776694.56954112
2024-08-09,36788655.85600048
2024-09-09,36776689.13597107
2024-10-09,36954638.65861157
2024-11-09,37115059.792299934
2024-12-09,37158911.459385276
2025-01-09,36954483.47957884
2025-02-09,36760646.04860416
2025-03-09,37061823.00808871
2025-04-09,37190387.76397867
2025-05-09,37037251.39921897
2025-06-09,37328580.732403554
2025-07-09,37318674.3943833
2025-08-09,37516275.08202
2025-09-09,37528546.837789014
2025-10-09,37771131.187101655
2025-11-09,37912217.067375965
2025-12-09,38152645.33363437
2026-01-09,37936609.12669897
2026-02-09,38215104.096458614
2026-03-09,38086883.56967173
2026-04-09,37868884.28755165
2026-05-09,38000582.99102981
2026-06-09,37957354.605840854
2026-07-09,37931185.36872912
2026-08-09,38035840.1483956
2026-09-09,38034950.12560494
2026-10-09,38292881.05752836
2026-11-09,38401235.32684641
2026-12-09,38832190.17268735
2027-01-09,38648708.19677387
2027-02-09,38435284.20888162
2027-03-09,38283146.86704631
2027-04-09,38186562.84906606
2027-05-09,38154846.268954515
2027-06-09,37905638.36651466
2027-07-09,37671260.08622083
2027-08-09,37515705.735583976
2027-09-09,37539050.002843946
2027-10-09,37518849.16019206
2027-11-09,37678264.738124765
2027-12-09,37468692.10574839
2028-01-09,37551997.764599845
2028-02-09,37674705.67061973
2028-03-09,37882718.67608163
2028-04-09,38025666.726218276
2028-05-09,38297029.02655275
2028-06-09,38582333.647266455
2028-07-09,38367862.077183776
2028-08-09,38348477.77488048
2028-09-09,38316396.623628706
2028-10-09,38514810.9299504
2028-11-09,38262979.976772904
2028-12-09,38429487.149423234
2029-01-09,38720569.52826686
2029-02-09,38699847.41070446
2029-03-09,38643477.269683905
2029-04-09,39080748.649253204
2029-05-09,38979665.58289545
2029-06-09,38948739.56917952
2029-07-09,38953796.072150335
2029-08-09,38891169.73397968
2029-09-09,38896097.26490262
2029-10-09,39321726.69145464
2029-11-09,39503758.1676755
2029-12-09,39552430.28345813
2030-01-09,39547992.339982875
2030-02-09,39852597.39493796
2030-03-09,39957508.44377234
2030-04-09,40191409.33894878
2030-05-09,40111159.69407467
2030-06-09,39901910.320414126
2030-07-09,40307431.36639972
2030-08-09,40699982.19247677
2030-09-09,40702110.45604822
2030-10-09,40860368.93315474
2030-11-09,41294170.92705952
2030-12-09,41571482.01831641
2031-01-09,41767689.84754681
2031-02-09,41756933.121770635
2031-03-09,41976977.07035911
2031-04-09,42374010.10547637
2031-05-09,42076979.689625554
2031-06-09,42169002.69711074
2031-07-09,42196579.78731597
2031-08-09,42342930.247054175
2031-09-09,42131382.16800171
2031-10-09,42591551.05182424
2031-11-09,42816369.727125324
2031-12-09,42762509.141306475
2032-01-09,42728189.557172574
2032-02-09,43189655.33362377
2032-03-09,43414128.10168944
2032-04-09,43161764.844215006
2032-05-09,43274656.943748556
2032-06-09,42996873.967934646
2032-07-09,43088336.63206417
2032-08-09,42978882.45202379
2032-09-09,42852956.81365875
2032-10-09,42707176.02032815
2032-11-09,42743119.98731288
2032-12-09,42725562.66779126
2033-01-09,42680641.90824356
2033-02-09,42562707.791273825
2033-03-09,42756414.917694785
2033-04-09,42785715.35072973
2033-05-09,43032684.87467546
2033-06-09,43251859.63380155
2033-07-09,43262684.0111742
2033-08-09,43333411.83419694
2033-09-09,43060427.74801693
2033-10-09,43138291.62029107
2033-11-09,43170965.94766137
2033-12-09,43270897.90940205
2034-01-09,43022521.08338967
2034-02-09,42929644.53905932
2034-03-09,43159005.94926175
2034-04-09,42959015.6566519
2034-05-09,42831437.92202305
2034-06-09,42644916.549792334
2034-07-09,42963331.96872271
2034-08-09,42939564.14202495
2034-09-09,43146232.46372777
2034-10-09,43267523.02391441
2034-11-09,43018918.346220165
2034-12-09,43392752.77227651
