,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,22815428.745285,22815428.745285
1,2020-05-19,23238442.555785,23238442.555785
2,2020-06-10,27168967.088765,27168967.088765
3,2020-07-16,27898286.216545,27898286.216545
4,2020-08-11,27563771.129585,27563771.129585
5,2020-09-28,29022458.211373,29022458.211373
6,2020-11-11,30653141.252423,30653141.252423
7,2021-01-21,35857642.899863005,35857642.899863005
8,2021-03-03,36850282.525223,36850282.525223
9,2021-04-01,35960834.808721,35960834.808721
10,2021-05-03,38367999.757411,38367999.757411
11,2021-07-15,40640329.880331,40640329.880331
12,2021-08-09,41595193.886931,41595193.886931
13,2021-09-02,41985652.185331,41985652.185331
14,2021-10-19,42305119.626701,42305119.626701
15,2021-12-14,37872863.413761,37872863.413761
16,2022-01-25,36320248.502061,36320248.502061
17,2022-02-16,35271218.705221,35271218.705221
18,2022-03-16,32179394.046718,32179394.046718
19,2022-04-11,32436165.4364,32436165.4364
20,2022-07-15,29084007.94876,29084007.94876
21,2022-08-08,31752648.21144,31752648.21144
22,2022-09-14,30635255.983655,30635255.983655
23,2022-10-19,27555079.594565,27555079.594565
24,2022-11-09,27406299.234565,27406299.234565
25,2022-12-16,29332949.333805,29332949.333805
26,2023-01-27,31310595.992385,31310595.992385
27,2023-02-08,36821681.413485,36821681.413485
28,2023-03-09,36474438.018725,36474438.018725
29,2023-04-09,36657798.4439076,36691896.35188915
30,2023-05-09,36707632.23791296,36775940.77682477
31,2023-06-09,36851471.45543412,36954058.65769451
32,2023-07-09,37145411.32893836,37282844.26124205
33,2023-08-09,37276860.23109827,37448873.07280579
34,2023-09-09,37509618.00630933,37716576.83089594
35,2023-10-09,37548412.88602499,37790383.18320593
36,2023-11-09,37692404.61323441,37969511.30696513
37,2023-12-09,37681159.34472893,37993328.6973508
38,2024-01-09,37857722.545549214,38205641.5181957
39,2024-02-09,37877793.20233916,38260064.54020433
40,2024-03-09,38040454.39143534,38458909.04042669
41,2024-04-09,38370558.964727074,38827191.270309106
42,2024-05-09,38542299.38862181,39034909.09144885
43,2024-06-09,38507137.77053101,39035308.372409604
44,2024-07-09,38353992.42035213,38916285.82966055
45,2024-08-09,38350953.17534903,38948835.309515014
46,2024-09-09,38362163.95696664,38994761.460157394
47,2024-10-09,38395493.147018656,39063568.52940418
48,2024-11-09,38464618.777234584,39170065.57682624
49,2024-12-09,38724467.39614026,39468166.67775472
50,2025-01-09,38968694.082647674,39752065.15406996
51,2025-02-09,38824931.75369248,39641972.37754567
52,2025-03-09,39016472.46536773,39870001.44245779
53,2025-04-09,39108366.15708327,39998979.99864478
54,2025-05-09,39126811.39776694,40052800.26352021
55,2025-06-09,39106637.08105118,40068247.19574504
56,2025-07-09,39374687.25131391,40377292.141221814
57,2025-08-09,39679410.312327236,40722266.56195064
58,2025-09-09,39712782.273152344,40795123.81501913
59,2025-10-09,39887465.857310206,41008090.94897225
