,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,17163528.745285,17163528.745285
1,2020-05-19,17348655.592805,17348655.592805
2,2020-06-10,19467067.088785,19467067.088785
3,2020-07-16,20306615.098565,20306615.098565
4,2020-08-11,20381871.129605,20381871.129605
5,2020-09-28,20520558.211393,20520558.211393
6,2020-11-11,22561241.252443,22561241.252443
7,2021-01-21,26295586.649883002,26295586.649883002
8,2021-03-03,27334904.742243,27334904.742243
9,2021-04-01,26445457.025741,26445457.025741
10,2021-05-03,28852621.974431,28852621.974431
11,2021-07-15,26538429.880351,26538429.880351
12,2021-08-09,27493293.886951,27493293.886951
13,2021-09-02,26733752.185351,26733752.185351
14,2021-10-19,26553219.626721002,26553219.626721002
15,2021-12-14,24140963.413781,24140963.413781
16,2022-01-25,22706348.992081,22706348.992081
17,2022-02-16,22029318.705241002,22029318.705241002
18,2022-03-16,20277494.046738,20277494.046738
19,2022-04-11,20534265.43642,20534265.43642
20,2022-07-15,18132107.94878,18132107.94878
21,2022-08-08,19850748.21146,19850748.21146
22,2022-09-14,18730605.983615,18730605.983615
23,2022-10-19,17321539.194594998,17321539.194594998
24,2022-11-09,17172758.834595,17172758.834595
25,2022-12-16,19099408.933835,19099408.933835
26,2023-01-27,21077055.592415,21077055.592415
27,2023-02-08,20818141.013515,20818141.013515
28,2023-03-09,20480210.018685,20480210.018685
29,2023-04-09,20526207.293469943,20551580.17060403
30,2023-05-09,20490652.60118293,20541548.770741288
31,2023-06-09,20467668.191130083,20544050.229425132
32,2023-07-09,20584941.683886558,20687142.583194878
33,2023-08-09,20542428.51164277,20670554.005832314
34,2023-09-09,20506543.362659648,20660271.642870717
35,2023-10-09,20558446.336914852,20738276.44555016
36,2023-11-09,20528788.96682454,20734414.742273707
37,2023-12-09,20631028.48762358,20863460.4317003
38,2024-01-09,20754421.320426233,21013600.466974296
39,2024-02-09,20912905.45734132,21200231.48428986
40,2024-03-09,20986569.079126503,21301732.674581386
41,2024-04-09,20992892.28838675,21333924.957141444
42,2024-05-09,21109018.304272585,21478018.731255196
43,2024-06-09,21233220.676348865,21630387.08905686
44,2024-07-09,21363883.592961438,21787791.22764828
45,2024-08-09,21457222.780780874,21907409.223841388
46,2024-09-09,21607229.740318634,22086103.543183375
47,2024-10-09,21754415.837126512,22260663.141341213
48,2024-11-09,21818512.429397136,22353507.172070395
49,2024-12-09,21936783.69668645,22498672.8724507
50,2025-01-09,21913979.036174927,22502615.714509755
51,2025-02-09,22085784.4039297,22704604.89185637
