,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,461299583.66756,461299583.66756
1,2020-05-19,499931645.83144,499931645.83144
2,2020-06-10,520406074.21146,520406074.21146
3,2020-07-16,508039457.87772,508039457.87772
4,2020-08-11,496885948.76433,496885948.76433
5,2020-09-28,501986125.66614,501986125.66614
6,2020-11-11,494704142.41604,494704142.41604
7,2021-01-21,604729076.36138,604729076.36138
8,2021-03-03,583489077.46881,583489077.46881
9,2021-04-01,598683420.26727,598683420.26727
10,2021-05-03,582983068.1245201,582983068.1245201
11,2021-07-15,567999035.05141,567999035.05141
12,2021-08-09,567265490.1436,567265490.1436
13,2021-09-02,685715764.43129,685715764.43129
14,2021-10-19,539217372.68879,539217372.68879
15,2021-12-14,649091938.97272,649091938.97272
16,2022-01-25,602692834.74457,602692834.74457
17,2022-02-16,609237022.41408,609237022.41408
18,2022-03-16,218713987.54646,218713987.54646
19,2022-04-11,220024629.31155,220024629.31155
20,2022-07-15,196637318.83187,196637318.83187
21,2022-08-08,216413949.90526,216413949.90526
22,2022-09-14,204508159.19722,204508159.19722
23,2022-10-19,185559429.44897,185559429.44897
24,2022-11-09,191151727.44909,191151727.44909
25,2022-12-16,203312319.58117,203312319.58117
26,2023-01-27,218348623.05305,218348623.05305
27,2023-02-08,223448608.0502,223448608.0502
28,2023-03-09,218620682.36331,218620682.36331
29,2023-04-09,219568994.37030083,219635150.31998444
30,2023-05-09,219870608.09600165,220002985.6558682
31,2023-06-09,220633293.87194604,220832602.45969918
32,2023-07-09,221485563.11493605,221751553.59786332
33,2023-08-09,222250546.46660414,222582652.21933118
34,2023-09-09,223192394.8783465,223591677.33022612
35,2023-10-09,223823647.8216921,224288764.1895674
36,2023-11-09,224813630.34630603,225345835.66239598
37,2023-12-09,225311492.52588722,225910794.53820655
38,2024-01-09,226066597.97284728,226732269.00262427
39,2024-02-09,226533019.4611052,227267059.7699886
