,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,19057098.205829002,19057098.205829002
1,2020-05-19,19443159.697124,19443159.697124
2,2020-06-10,22533177.359266,22533177.359266
3,2020-07-16,23065167.579724,23065167.579724
4,2020-08-11,23410642.008099,23410642.008099
5,2020-09-28,24884110.062533,24884110.062533
6,2020-11-11,25459947.749359,25459947.749359
7,2021-01-21,30454255.717445,30454255.717445
8,2021-03-03,30990458.491437998,30990458.491437998
9,2021-04-01,29760522.443117,29760522.443117
10,2021-05-03,30657600.813927,30657600.813927
11,2021-07-15,33052929.569191,33052929.569191
12,2021-08-09,33240585.687880002,33240585.687880002
13,2021-09-02,34502112.938395,34502112.938395
14,2021-10-19,34519408.273821004,34519408.273821004
15,2021-12-14,30013523.543394,30013523.543394
16,2022-01-25,28503539.431264,28503539.431264
17,2022-02-16,27723431.144853,27723431.144853
18,2022-03-16,25845307.069098,25845307.069098
19,2022-04-11,25820923.698585,25820923.698585
20,2022-07-15,23116017.945195,23116017.945195
21,2022-08-08,24761648.221703,24761648.221703
22,2022-09-14,23795437.728873,23795437.728873
23,2022-10-19,20943179.313695,20943179.313695
24,2022-11-09,20705549.239484,20705549.239484
25,2022-12-16,21384609.312392,21384609.312392
26,2023-01-27,22358746.007906,22358746.007906
27,2023-02-08,28181281.392366,28181281.392366
28,2023-03-09,27906137.012172002,27906137.012172002
29,2023-04-09,27959888.028658986,27987887.960349616
30,2023-05-09,28189890.368496247,28246151.705612212
31,2023-06-09,28115621.91853873,28200083.686474297
32,2023-07-09,28045623.697442513,28158231.339446303
33,2023-08-09,28148029.53714833,28289079.672663573
34,2023-09-09,28055748.90624023,28224673.12863519
35,2023-10-09,28075694.363088492,28272645.95701768
36,2023-11-09,27992866.12973716,28217023.51043598
37,2023-12-09,27918740.778977696,28170473.39893079
38,2024-01-09,27840147.468965583,28119464.01428644
39,2024-02-09,27908877.513501115,28216986.135678124
40,2024-03-09,28113177.2978388,28450562.07924805
41,2024-04-09,28284345.27990526,28651610.98252211
42,2024-05-09,28202111.97393482,28596532.995757703
43,2024-06-09,28256870.916355744,28680948.633404527
44,2024-07-09,28455412.513893913,28909627.600058112
45,2024-08-09,28384734.657146655,28866325.097661387
46,2024-09-09,28312725.836272035,28822200.662864577
47,2024-10-09,28250041.208008043,28788510.42633204
48,2024-11-09,28170629.580967486,28737793.223058626
49,2024-12-09,28258121.631447796,28855081.05331677
50,2025-01-09,28352923.33660731,28979023.680444058
51,2025-02-09,28420419.713164575,29077049.76552217
